minggu,tajuk,unit,standard_kandungan,standard_pembelajaran
1 - Orientasi,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,1.1.1 Memerhati dengan menggunakan semua deria yang terlibat dan alat jika perlu untuk membuat pemerhatian secara kualitatif bagi menerangkan fenomena atau perubahan yang berlaku.
1 - Orientasi,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,1.1.2 Mengelas dengan membandingkan atau mengenal pasti persamaan dan perbezaan berdasarkan ciri sepunya.
1 - Orientasi,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,1.1.3 Mengukur dan menggunakan nombor dengan menggunakan alat dan unit piawai dengan teknik yang betul.
1 - Orientasi,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,1.1.4 Membuat inferens dengan menyatakan kesimpulan awal atau penerangan yang munasabah bagi sesuatu pemerhatian dengan menggunakan maklumat yang diperoleh.
2-3,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,"1.1.5 Meramal dengan membuat jangkaan tentang sesuatu peristiwa atau fenomena berdasarkan pemerhatian, pengalaman lalu atau data."
2-3,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,1.1.6 Berkomunikasi dengan merekod maklumat atau idea dalam bentuk yang sesuai dan mempersembahkan maklumat atau idea tersebut secara sistematik.
2-3,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,1.1.7 Menggunakan perhubungan ruang dan masa dengan menyusun kejadian sesuatu fenomena atau peristiwa mengikut kronologi berdasarkan masa.
2-3,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,"1.1.8 Mentafsir data dengan memilih idea yang relevan tentang objek, peristiwa atau pola yang terdapat pada data untuk membuat penerangan."
3,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,1.1.9 Mendefinisi secara operasi dengan memerihalkan satu
3,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,1.1.10 Mengawal pemboleh ubah dengan menentukan pemboleh ubah bergerak balas dan dimalarkan setelah pemboleh ubah dimanipulasi ditentukan dalam sesuatu penyiasatan.
3,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,1.1.11 Membuat hipotesis dengan membuat pernyataan umum yang boleh diuji tentang hubungan antara pemboleh ubah dalam sesuatu penyiasatan.
3,1.0 KEMAHIRAN SAINTIFIK,UNIT 1: KEMAHIRAN SAINTIFIK,1.1 Kemahiran Proses Sains,1.1.12 Mengeksperimen dengan menggunakan kemahiran proses sains asas bagi mengumpul dan mentafsir data serta membuat rumusan untuk membuktikan hipotesis dan membuat laporan.
4,2.0 MANUSIA,UNIT 2 ; MANUSIA,2.1 Pembiakan Manusia,2.1.1 Memerihalkan fungsi organ pembiakan lelaki dan perempuan.
4,2.0 MANUSIA,UNIT 2 ; MANUSIA,2.1 Pembiakan Manusia,2.1.2 Menjelaskan proses persenyawaan manusia sehingga bayi dilahirkan.
4,2.0 MANUSIA,UNIT 2 ; MANUSIA,2.1 Pembiakan Manusia,2.1.3 Menaakul kepentingan pembiakan kepada manusia.
4,2.0 MANUSIA,UNIT 2 ; MANUSIA,2.1 Pembiakan Manusia,"2.1.4 Menjelaskan pemerhatian tentang pembiakan manusia melalui lakaran, TMK, penulisan atau lisan secara kreatif."
4,CUTI PERAYAAN – HARI RAYA AIDILFITRI,CUTI PERAYAAN – HARI RAYA AIDILFITRI,,
6-7,2.0 MANUSIA,UNIT 2 ; MANUSIA,2.2 Sistem Saraf,2.2.1 Mengenal pasti jenis sistem saraf manusia.
6-7,2.0 MANUSIA,UNIT 2 ; MANUSIA,2.2 Sistem Saraf,2.2.2 Memerihalkan sistem saraf pusat dan fungsinya.
6-7,2.0 MANUSIA,UNIT 2 ; MANUSIA,2.2 Sistem Saraf,2.2.3 Menyatakan fungsi sistem saraf periferi.
6-7,2.0 MANUSIA,UNIT 2 ; MANUSIA,2.2 Sistem Saraf,2.2.4 Meramalkan keadaan yang berlaku jika sistem saraf periferi tidak berfungsi.
6-7,2.0 MANUSIA,UNIT 2 ; MANUSIA,2.2 Sistem Saraf,2.2.5 Menjana idea tentang cara menjaga sistem saraf.
6-7,2.0 MANUSIA,UNIT 2 ; MANUSIA,2.2 Sistem Saraf,"2.2.6 Menjelaskan pemerhatian tentang sistem saraf melalui lakaran, TMK, penulisan atau lisan secara kreatif."
